ok  	github.com/veighnsche/can-lang/compiler	9.005s
ok  	github.com/veighnsche/can-lang/compiler/internal/catalogue	0.273s
?   	github.com/veighnsche/can-lang/compiler/internal/catalogue/cmd/cataloguegen	[no test files]
ok  	github.com/veighnsche/can-lang/compiler/internal/driver	0.213s
ok  	github.com/veighnsche/can-lang/compiler/internal/source	0.225s
ok  	github.com/veighnsche/can-lang/compiler/internal/syntax	0.378s
ok  	github.com/veighnsche/can-lang/distribution	0.217s
ok  	github.com/veighnsche/can-lang/internal/scan	0.214s
ok  	github.com/veighnsche/can-lang/tests/integration	0.345s
?   	github.com/veighnsche/can-lang/tools/distbuild	[no test files]
ok  	github.com/veighnsche/can-lang/tools/gramcheck	0.222s
ok  	github.com/veighnsche/can-lang/tools/modcheck	0.281s
